S No,College_Code,College_Name,College_Type,Region,District,Place,COED,Affliate_Univ,ESTD,Branch,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BC_A_BOYS,BC_A_GIRLS,BC_B_BOYS,BC_B_GIRLS,BC_C_BOYS,BC_C_GIRLS,BC_D_BOYS,BC_D_GIRLS,BC_E_BOYS,BC_E_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,FEE
1423,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,CIV,,,161930,161930,,,153671,153671,,,,,163706,163706,,,NA,NA,70000
1424,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,CIV,74258,74258,97415,117483,74258,171538,74258,74258,165582,165582,74258,74258,114459,115854,74258,165546,NA,NA,70000
1425,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,CSC,20285,13532,86521,123577,169618,172613,67737,67737,25448,67261,20285,13532,65062,65062,20285,13532,NA,NA,70000
1426,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,CSC,17911,17911,49779,49779,57013,57013,24802,13541,18859,38863,17911,17911,11348,11348,17911,17911,NA,NA,70000
1427,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,CSD,16347,17202,99879,114118,168334,168334,43496,43496,17817,17817,16347,17202,37327,37327,16347,70093,NA,NA,70000
1428,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,CSD,10973,12290,34649,34649,51565,51565,14219,19288,10973,12290,10973,12290,8051,18299,17455,17455,NA,NA,70000
1429,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,CSE,14566,16199,79091,147720,123130,87102,15630,32460,31020,28583,14566,44645,20404,27653,22577,34673,NA,NA,70000
1430,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,CSE,10348,9936,39316,40871,46418,46418,13494,11526,13358,9897,10348,9936,8199,14909,9042,15114,NA,NA,70000
1431,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,CSM,15016,17755,64173,20844,171201,171201,47813,47813,21040,90479,25536,25536,24410,24410,15016,33733,NA,NA,70000
1432,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,CSM,6631,6918,25027,26484,6631,47864,6631,6918,10799,10799,6631,6918,6631,14109,6631,6918,NA,NA,70000
1433,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,ECE,33327,140846,170217,170747,109269,172490,82510,98168,138725,119683,92064,92064,142513,146624,114194,114194,NA,NA,70000
1434,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,ECE,26465,34687,98407,96127,61661,163952,28543,54380,31425,38389,26465,34687,26654,30527,23170,23170,NA,NA,70000
1435,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,EEE,85751,114788,171170,172964,125925,125925,135515,97890,113107,145962,85751,114788,138562,128953,150053,150053,NA,NA,70000
1436,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,EEE,27430,142297,170913,173113,154520,154520,125898,68572,73365,123872,27430,142297,141910,141910,55816,129837,NA,NA,70000
1437,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,EIE,136918,59586,97136,122649,64037,102103,153693,153693,157283,134484,102124,102124,140434,140434,115252,115252,NA,NA,70000
1438,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,EIE,139588,124220,94553,49190,41275,41275,132463,132463,86222,86222,139588,124220,113225,113225,139588,41838,NA,NA,70000
1439,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,INF,27091,16976,154215,169972,85289,86971,52592,85898,53333,119921,27091,16976,63289,92900,166282,166282,NA,NA,70000
1440,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,INF,21814,15341,112661,57447,21814,149533,23223,23223,25721,25721,21814,15341,34593,39337,21814,15341,NA,NA,70000
1441,MBUTPU1,MOHAN BABU UNIVERSITY,PU,SW,CTR,RANGAMPETA,COED,MBUTP,U2022,MEC,86222,90761,155206,155206,86222,90761,86222,90761,131646,131646,86222,90761,168712,168712,86222,90761,NA,NA,70000
