S_No,College_Code,College_Name,College_Type,Region,District,Place,COED,Affliate_Univ,ESTD,Branch,Gender,Category,Rank,Fee
137,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,BOYS,BC_C,53492,38000
138,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,BOYS,BC_D,68283,38000
139,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,BOYS,BC_E,71051,38000
140,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,BOYS,OC,53492,38000
141,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,BOYS,OC_EWS,54950,38000
142,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,BOYS,SC,53492,38000
143,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,BOYS,ST,53492,38000
144,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,GIRLS,BC_A,109412,38000
145,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,GIRLS,BC_B,82112,38000
146,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,GIRLS,BC_C,54061,38000
147,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,GIRLS,BC_D,68283,38000
148,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,GIRLS,BC_E,112254,38000
149,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,GIRLS,OC,54061,38000
150,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,GIRLS,OC_EWS,57293,38000
151,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,GIRLS,SC,171559,38000
152,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,CSO,GIRLS,ST,54757,38000
153,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,ECE,BOYS,BC_A,139479,38000
154,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,ECE,BOYS,BC_B,76754,38000
155,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,ECE,BOYS,BC_C,124636,38000
156,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,ECE,BOYS,BC_D,78103,38000
157,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,ECE,BOYS,BC_E,126627,38000
158,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,ECE,BOYS,OC,59801,38000
159,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,2008,ECE,BOYS,OC_EWS,60472,38000
